ID,heading,sortid,parentid,path,heading,sortid,parentid,path
6834,(By date),56834.5,56831.5,sub,(By date),56834.5,56831.5,sub
6835,1453-,56835.5,56834.5,2/1887/D5454,1453-,56835.5,56834.5,2/1887/D5454
6836,"War of Independence, 1821-1829 >",56836.5,56834.5,2/1887/D5455,"War of Independence, 1821-1829 >",56836.5,56834.5,2/1887/D5455
6837,Imprints >,56837.5,56825.5,2/1887/D5456,Imprints >,56837.5,56825.5,2/1887/D5456
6838,Relations (General) ... >,56838.5,56825.5,2/1888/D5457,Relations (General) ... >,56838.5,56825.5,2/1888/D5457
6839,(By author),56839.5,11189.5,2/1888/D5465,(By author),56839.5,11189.5,2/1888/D5465
6840,(By topic),56840.5,11189.5,sub,(By topic),56840.5,11189.5,sub
6841,Accents and accentuation >,56841.5,56840.5,2/1888/D5467,Accents and accentuation >,56841.5,56840.5,2/1888/D5467
6842,Dictionaries >,56842.5,56840.5,2/1889/D5468,Dictionaries >,56842.5,56840.5,2/1889/D5468
6843,Etymology >,56843.5,56840.5,2/1889/D5469,Etymology >,56843.5,56840.5,2/1889/D5469
6844,Grammar,56844.5,56840.5,2/1889/D5470,Grammar,56844.5,56840.5,2/1889/D5470
6845,"Grammar, Comparative >",56845.5,56840.5,2/1889/D5471,"Grammar, Comparative >",56845.5,56840.5,2/1889/D5471
6846,Metrics and rhythmics >,56846.5,56840.5,2/1889/D5472,Metrics and rhythmics >,56846.5,56840.5,2/1889/D5472
6847,Pronunciation >,56847.5,56840.5,2/1889/D5473,Pronunciation >,56847.5,56840.5,2/1889/D5473
6848,Syntax >,56848.5,56840.5,2/1889/D5474,Syntax >,56848.5,56840.5,2/1889/D5474
6849,(By place),56849.5,11189.5,2/1890/D4480,(By place),56849.5,11189.5,2/1890/D4480
6850,(By author),56850.5,11191.5,2/1890/D5489,(By author),56850.5,11191.5,2/1890/D5489
6851,(By topic),56851.5,11191.5,2/1890/D5490,(By topic),56851.5,11191.5,2/1890/D5490
6852,(By author),56852.5,11193.5,2/1890/D5479,(By author),56852.5,11193.5,2/1890/D5479
6853,(By topic),56853.5,11193.5,sub,(By topic),56853.5,11193.5,sub
6854,"Addresses, essays, lectures >",56854.5,56853.5,2/1890/D5481,"Addresses, essays, lectures >",56854.5,56853.5,2/1890/D5481
6855,History and criticism,56855.5,56853.5,sub,History and criticism,56855.5,56853.5,sub
6856,(By author),56856.5,56855.5,sub,(By author),56856.5,56855.5,sub
6857,A-L,56857.5,56856.5,2/1890/D5484,A-L,56857.5,56856.5,2/1890/D5484
6858,M-Z,56858.5,56856.5,2/1890/D5485,M-Z,56858.5,56856.5,2/1890/D5485
6859,(By topic),56859.5,56855.5,2/1890/D5486,(By topic),56859.5,56855.5,2/1890/D5486
6860,Jewish authors >,56860.5,56853.5,2/1890/D5487,Jewish authors >,56860.5,56853.5,2/1890/D5487
6861,(By author),56861.5,11197.5,13/1891/D5494,(By author),56861.5,11197.5,13/1891/D5494
6862,(By topic),56862.5,11197.5,13/1891/D5495,(By topic),56862.5,11197.5,13/1891/D5495
6863,Collected and selected works,56863.5,11220.5,15/1894/D5519,Collected and selected works,56863.5,11220.5,15/1894/D5519
6864,Collected and selected works (info),56864.5,11220.5,info/W,Collected and selected works (info),56864.5,11220.5,info/W
6865,Plays,56865.5,11220.5,15/1894/D5520,Plays,56865.5,11220.5,15/1894/D5520
6866,Plays (info),56866.5,11220.5,info/F,Plays (info),56866.5,11220.5,info/F
6867,Individual titles,56867.5,11220.5,15/1894/D5521,Individual titles,56867.5,11220.5,15/1894/D5521
6868,Individual titles (info),56868.5,11220.5,info/T,Individual titles (info),56868.5,11220.5,info/T
6869,(Saints),56869.5,11237.5,sub,(Saints),56869.5,11237.5,sub
6870,(Popes),56870.5,56869.5,18/1896/D5539,(Popes),56870.5,56869.5,18/1896/D5539
6871,"(Others, by appellative)",56871.5,56869.5,18/1896/D5540,"(Others, by appellative)",56871.5,56869.5,18/1896/D5540
6872,(Popes),56872.5,11237.5,18/1897/D5541,(Popes),56872.5,11237.5,18/1897/D5541
6873,"(Others, by appellative)",56873.5,11237.5,18/1897/D5542,"(Others, by appellative)",56873.5,11237.5,18/1897/D5542
6874,Collected and selected works,56874.5,11278.5,18/1902/D5583,Collected and selected works,56874.5,11278.5,18/1902/D5583
6875,Correspondence,56875.5,11278.5,18/1902/D5584,Correspondence,56875.5,11278.5,18/1902/D5584
6876,Individual works,56876.5,11278.5,18/1902/D5585,Individual works,56876.5,11278.5,18/1902/D5585
6877,Collected and selected works,56877.5,11286.5,18/1903/D5604,Collected and selected works,56877.5,11286.5,18/1903/D5604
6878,Individual works,56878.5,11286.5,18/1903/D5605,Individual works,56878.5,11286.5,18/1903/D5605
6879,(Without subdivision),56879.5,11302.5,sub,(Without subdivision),56879.5,11302.5,sub
6880,(As author),56880.5,56879.5,sub,(As author),56880.5,56879.5,sub
6881,(By title),56881.5,56880.5,sub,(By title),56881.5,56880.5,sub
6882,A-D,56882.5,56881.5,18/1906/D5625,A-D,56882.5,56881.5,18/1906/D5625
6883,E-Z,56883.5,56881.5,18/1906/D5623,E-Z,56883.5,56881.5,18/1906/D5623
6884,(As subject),56884.5,56879.5,18/1906/D5624,(As subject),56884.5,56879.5,18/1906/D5624
6885,(By topic or sub-agency),56885.5,11302.5,18/1906/D5626,(By topic or sub-agency),56885.5,11302.5,18/1906/D5626
6886,(By author),56886.5,11313.5,18/1907/D5643,(By author),56886.5,11313.5,18/1907/D5643
6887,(By topic),56887.5,11313.5,18/1907/D5644,(By topic),56887.5,11313.5,18/1907/D5644
6888,(By place),56888.5,11313.5,18/1907/D5645,(By place),56888.5,11313.5,18/1907/D5645
6889,(By place) (info),56889.5,11313.5,info/P,(By place) (info),56889.5,11313.5,info/P
6890,Collected and selected works,56890.5,11325.5,16/1909/D5658,Collected and selected works,56890.5,11325.5,16/1909/D5658
6891,Correspondence,56891.5,11325.5,16/1909/D5659,Correspondence,56891.5,11325.5,16/1909/D5659
6892,Individual works,56892.5,11325.5,sub,Individual works,56892.5,11325.5,sub
6893,Adamus exul >,56893.5,56892.5,16/1909/D5661,Adamus exul >,56893.5,56892.5,16/1909/D5661
6894,De jure belli et pacis >,56894.5,56892.5,16/1909/D5662,De jure belli et pacis >,56894.5,56892.5,16/1909/D5662
6895,Mare liberum >,56895.5,56892.5,16/1909/D5663,Mare liberum >,56895.5,56892.5,16/1909/D5663
6896,(By author),56896.5,11334.5,sub,(By author),56896.5,11334.5,sub
6897,A-K,56897.5,56896.5,16/1910/D5674,A-K,56897.5,56896.5,16/1910/D5674
6898,L-Z,56898.5,56896.5,16/1910/D5675,L-Z,56898.5,56896.5,16/1910/D5675
6899,(By topic),56899.5,11334.5,16/1910/D5676,(By topic),56899.5,11334.5,16/1910/D5676
6900,(Without subdivision),56900.5,11371.5,16/1916/D5714,(Without subdivision),56900.5,11371.5,16/1916/D5714
6901,(By topic or sub-agency),56901.5,11371.5,sub,(By topic or sub-agency),56901.5,11371.5,sub
6902,A-C,56902.5,56901.5,16/1916/D5716,A-C,56902.5,56901.5,16/1916/D5716
6903,D-G,56903.5,56901.5,16/1916/D5717,D-G,56903.5,56901.5,16/1916/D5717
6904,H-O,56904.5,56901.5,16/1916/D5718,H-O,56904.5,56901.5,16/1916/D5718
6905,P-Z,56905.5,56901.5,16/1916/D5719,P-Z,56905.5,56901.5,16/1916/D5719
6906,(By author),56906.5,11393.5,16/1920/D5742,(By author),56906.5,11393.5,16/1920/D5742
6907,(By topic),56907.5,11393.5,16/1920/D5743,(By topic),56907.5,11393.5,16/1920/D5743
6908,(By place),56908.5,11393.5,16/1920/D5744,(By place),56908.5,11393.5,16/1920/D5744
6909,(By place) (info),56909.5,11393.5,info/P,(By place) (info),56909.5,11393.5,info/P
6910,(By author),56910.5,11516.5,15/1937/D5863,(By author),56910.5,11516.5,15/1937/D5863
6911,(By topic),56911.5,11516.5,15/1937/D5864,(By topic),56911.5,11516.5,15/1937/D5864
6912,Collected and selected works,56912.5,11526.5,22/1940/D5874,Collected and selected works,56912.5,11526.5,22/1940/D5874
6913,Individual works,56913.5,11526.5,sub,Individual works,56913.5,11526.5,sub
6914,A-F,56914.5,56913.5,22/1940/D5877,A-F,56914.5,56913.5,22/1940/D5877
6915,G-R,56915.5,56913.5,22/1940/D5878,G-R,56915.5,56913.5,22/1940/D5878
6916,S-Z,56916.5,56913.5,22/1940/D5879,S-Z,56916.5,56913.5,22/1940/D5879
6917,(Without subdivision),56917.5,11544.5,22/1943/D5899,(Without subdivision),56917.5,11544.5,22/1943/D5899
6918,(By topic or sub-agency),56918.5,11544.5,sub,(By topic or sub-agency),56918.5,11544.5,sub
6919,Academia de Derecho Internacional >,56919.5,56918.5,22/1943/D5901,Academia de Derecho Internacional >,56919.5,56918.5,22/1943/D5901
6920,International court of justice >,56920.5,56918.5,22/1943/D5902,International court of justice >,56920.5,56918.5,22/1943/D5902
6921,Kabinet van munten >,56921.5,56918.5,22/1943/D5903,Kabinet van munten >,56921.5,56918.5,22/1943/D5903
6922,Permanent court of international justice >,56922.5,56918.5,22/1943/D5904,Permanent court of international justice >,56922.5,56918.5,22/1943/D5904
6923,(By author),56923.5,11557.5,12/1945/D5918,(By author),56923.5,11557.5,12/1945/D5918
6924,(By topic),56924.5,11557.5,sub,(By topic),56924.5,11557.5,sub
6925,A-G,56925.5,56924.5,12/1945/D5920,A-G,56925.5,56924.5,12/1945/D5920
6926,H,56926.5,56924.5,12/1945/D5921,H,56926.5,56924.5,12/1945/D5921
6927,I-Z,56927.5,56924.5,12/1945/D5922,I-Z,56927.5,56924.5,12/1945/D5922
6928,(Without subdivision),56928.5,11622.5,12/1954/D5985,(Without subdivision),56928.5,11622.5,12/1954/D5985
6929,(By topic or sub-agency),56929.5,11622.5,sub,(By topic or sub-agency),56929.5,11622.5,sub
6930,A-G,56930.5,56929.5,12/1954/D5987,A-G,56930.5,56929.5,12/1954/D5987
6931,H-L,56931.5,56929.5,12/1954/D5988,H-L,56931.5,56929.5,12/1954/D5988
6932,M-R,56932.5,56929.5,12/1954/D5989,M-R,56932.5,56929.5,12/1954/D5989
6933,S-T,56933.5,56929.5,12/1954/D5990,S-T,56933.5,56929.5,12/1954/D5990
6934,U,56934.5,56929.5,12/1955/D5991,U,56934.5,56929.5,12/1955/D5991
6935,V-Z,56935.5,56929.5,12/1955/D5992,V-Z,56935.5,56929.5,12/1955/D5992
6936,(By author),56936.5,11718.5,18/1968/D6087,(By author),56936.5,11718.5,18/1968/D6087
6937,(By topic),56937.5,11718.5,18/1968/D6088,(By topic),56937.5,11718.5,18/1968/D6088
6938,(By place),56938.5,11718.5,sub,(By place),56938.5,11718.5,sub
6939,(By place) (info),56939.5,11718.5,info/P,(By place) (info),56939.5,11718.5,info/P
6940,A-L,56940.5,56938.5,18/1968/D5592,A-L,56940.5,56938.5,18/1968/D5592
6941,M-Z,56941.5,56938.5,18/1968/D5593,M-Z,56941.5,56938.5,18/1968/D5593
6942,Collected and selected works,56942.5,11723.5,18/1969/D2443,Collected and selected works,56942.5,11723.5,18/1969/D2443
6943,Correspondence,56943.5,11723.5,18/1969/D2444,Correspondence,56943.5,11723.5,18/1969/D2444
6944,Individual works,56944.5,11723.5,18/1969/D2445,Individual works,56944.5,11723.5,18/1969/D2445
6945,Collected and selected works,56945.5,11735.5,18/1970/D2458,Collected and selected works,56945.5,11735.5,18/1970/D2458
6946,Individual works,56946.5,11735.5,sub,Individual works,56946.5,11735.5,sub
6947,A-I,56947.5,56946.5,18/1970/D2460,A-I,56947.5,56946.5,18/1970/D2460
6948,J-S,56948.5,56946.5,18/1970/D2461,J-S,56948.5,56946.5,18/1970/D2461
6949,T-Z,56949.5,56946.5,18/1970/D2462,T-Z,56949.5,56946.5,18/1970/D2462
6950,(By author),56950.5,11754.5,sub,(By author),56950.5,11754.5,sub
6951,A-L,56951.5,56950.5,18/1973/D2483,A-L,56951.5,56950.5,18/1973/D2483
6952,M-Z,56952.5,56950.5,18/1973/D2484,M-Z,56952.5,56950.5,18/1973/D2484
6953,(By topic),56953.5,11754.5,18/1973/D2485,(By topic),56953.5,11754.5,18/1973/D2485
6954,(Without subdivision),56954.5,11822.5,sub,(Without subdivision),56954.5,11822.5,sub
6955,(As author),56955.5,56954.5,sub,(As author),56955.5,56954.5,sub
6956,(By title),56956.5,56955.5,sub,(By title),56956.5,56955.5,sub
6957,A-L,56957.5,56956.5,9/1982/D2561,A-L,56957.5,56956.5,9/1982/D2561
6958,M-Z,56958.5,56956.5,9/1982/D2560,M-Z,56958.5,56956.5,9/1982/D2560
6959,(As subject),56959.5,56954.5,9/1982/D2562,(As subject),56959.5,56954.5,9/1982/D2562
6960,(By topic or sub-agency),56960.5,11822.5,sub,(By topic or sub-agency),56960.5,11822.5,sub
6961,Acoustics Research laboratory >,56961.5,56960.5,9/1982/D2564,Acoustics Research laboratory >,56961.5,56960.5,9/1982/D2564
6962,Center for ... >,56962.5,56960.5,9/1983/D2412,Center for ... >,56962.5,56960.5,9/1983/D2412
6963,Department of ... >,56963.5,56960.5,9/1983/D2568,Department of ... >,56963.5,56960.5,9/1983/D2568
6964,Graduate School of ... >,56964.5,56960.5,9/1983/D2569,Graduate School of ... >,56964.5,56960.5,9/1983/D2569
6965,Harvard alumni association >,56965.5,56960.5,9/1983/D2570,Harvard alumni association >,56965.5,56960.5,9/1983/D2570
6966,Library,56966.5,56960.5,sub,Library,56966.5,56960.5,sub
6967,(Without subdivision),56967.5,56966.5,9/1983/D2572,(Without subdivision),56967.5,56966.5,9/1983/D2572
6968,(By topic or sub-agency),56968.5,56966.5,9/1983/D2573,(By topic or sub-agency),56968.5,56966.5,9/1983/D2573
6969,Library for municipal research >,56969.5,56960.5,9/1983/D2574,Library for municipal research >,56969.5,56960.5,9/1983/D2574
6970,Museum of Comparative Zoology >,56970.5,56960.5,9/1983/D2575,Museum of Comparative Zoology >,56970.5,56960.5,9/1983/D2575
6971,Observatory >,56971.5,56960.5,9/1984/D2576,Observatory >,56971.5,56960.5,9/1984/D2576
6972,Press >,56972.5,56960.5,9/1984/D2577,Press >,56972.5,56960.5,9/1984/D2577
6973,William Hayes Fogg Art Museum,56973.5,56960.5,9/1984/D2578,William Hayes Fogg Art Museum,56973.5,56960.5,9/1984/D2578
6974,(By author),56974.5,11839.5,sub,(By author),56974.5,11839.5,sub
6975,A-M,56975.5,56974.5,9/1986/D2597,A-M,56975.5,56974.5,9/1986/D2597
6976,N-Z,56976.5,56974.5,9/1986/D2598,N-Z,56976.5,56974.5,9/1986/D2598
6977,(By topic),56977.5,11839.5,9/1987/D2599,(By topic),56977.5,11839.5,9/1987/D2599
6978,(By place),56978.5,11839.5,9/1987/D2600,(By place),56978.5,11839.5,9/1987/D2600
6979,Collected and selected works,56979.5,11866.5,15/1990/D2628,Collected and selected works,56979.5,11866.5,15/1990/D2628
6980,Individual works,56980.5,11866.5,15/1990/D2629,Individual works,56980.5,11866.5,15/1990/D2629
6981,(Without subdivision),56981.5,11885.5,16/1993/E5856,(Without subdivision),56981.5,11885.5,16/1993/E5856
6982,(By topic or sub-agency),56982.5,11885.5,sub,(By topic or sub-agency),56982.5,11885.5,sub
6983,A-Q,56983.5,56982.5,16/1993/E5858,A-Q,56983.5,56982.5,16/1993/E5858
6984,R-Z,56984.5,56982.5,16/1993/E5859,R-Z,56984.5,56982.5,16/1993/E5859
6985,(Without subdivision),56985.5,11888.5,16/1993/E5863,(Without subdivision),56985.5,11888.5,16/1993/E5863
6986,(By topic or sub-agency),56986.5,11888.5,sub,(By topic or sub-agency),56986.5,11888.5,sub
6987,A-G,56987.5,56986.5,16/1993/E5865,A-G,56987.5,56986.5,16/1993/E5865
6988,H-Z,56988.5,56986.5,16/1993/E5866,H-Z,56988.5,56986.5,16/1993/E5866
6989,Collected and selected works,56989.5,11900.5,15/1995/E5879,Collected and selected works,56989.5,11900.5,15/1995/E5879
6990,Individual works,56990.5,11900.5,15/1995/E5880,Individual works,56990.5,11900.5,15/1995/E5880
6991,Music,56991.5,11910.5,sub,Music,56991.5,11910.5,sub
6992,Collected and selected works,56992.5,56991.5,15/1996/E5892,Collected and selected works,56992.5,56991.5,15/1996/E5892
6993,Individual works,56993.5,56991.5,sub,Individual works,56993.5,56991.5,sub
6994,A-L,56994.5,56993.5,15/1996/E5894,A-L,56994.5,56993.5,15/1996/E5894
6995,M-R,56995.5,56993.5,15/1996/E5895,M-R,56995.5,56993.5,15/1996/E5895
6996,S,56996.5,56993.5,15/1996/E5905,S,56996.5,56993.5,15/1996/E5905
6997,T-Z,56997.5,56993.5,15/1997/E5896,T-Z,56997.5,56993.5,15/1997/E5896
6998,Other writings,56998.5,11910.5,15/1997/E5897,Other writings,56998.5,11910.5,15/1997/E5897
6999,(By author),56999.5,11956.5,11/2003/E5946,(By author),56999.5,11956.5,11/2003/E5946
7000,(By topic),57000.5,11956.5,sub,(By topic),57000.5,11956.5,sub
7001,A-Transfer,57001.5,57000.5,11/2003/E5947,A-Transfer,57001.5,57000.5,11/2003/E5947
7002,Transmission,57002.5,57000.5,sub,Transmission,57002.5,57000.5,sub
7003,(By author),57003.5,57002.5,sub,(By author),57003.5,57002.5,sub
7004,A-J,57004.5,57003.5,11/2003/E5950,A-J,57004.5,57003.5,11/2003/E5950
7005,K-Z,57005.5,57003.5,11/2003/E5951,K-Z,57005.5,57003.5,11/2003/E5951
7006,(By topic),57006.5,57002.5,11/2003/E5952,(By topic),57006.5,57002.5,11/2003/E5952
7007,Collected and selected works,57007.5,11965.5,11/2004/E5962,Collected and selected works,57007.5,11965.5,11/2004/E5962
7008,Correspondence,57008.5,11965.5,11/2004/E5963,Correspondence,57008.5,11965.5,11/2004/E5963
7009,Individual works,57009.5,11965.5,11/2004/E5964,Individual works,57009.5,11965.5,11/2004/E5964
7010,(By author),57010.5,11971.5,11/2005/E5971,(By author),57010.5,11971.5,11/2005/E5971
7011,(By topic),57011.5,11971.5,sub,(By topic),57011.5,11971.5,sub
7012,A-C,57012.5,57011.5,11/2005/E5973,A-C,57012.5,57011.5,11/2005/E5973
7013,D,57013.5,57011.5,11/2005/E5974,D,57013.5,57011.5,11/2005/E5974
7014,E-F,57014.5,57011.5,11/2005/E5975,E-F,57014.5,57011.5,11/2005/E5975
7015,G,57015.5,57011.5,11/2005/E5976,G,57015.5,57011.5,11/2005/E5976
7016,H-R,57016.5,57011.5,11/2005/E5977,H-R,57016.5,57011.5,11/2005/E5977
7017,S-Z,57017.5,57011.5,21/2006/E5978,S-Z,57017.5,57011.5,21/2006/E5978
7018,(By title),57018.5,11994.5,sub,(By title),57018.5,11994.5,sub
7019,A-O,57019.5,57018.5,11/2008/E6002,A-O,57019.5,57018.5,11/2008/E6002
7020,P-Z,57020.5,57018.5,11/2008/E6004,P-Z,57020.5,57018.5,11/2008/E6004
7021,(By author),57021.5,11995.5,sub,(By author),57021.5,11995.5,sub
7022,A-F,57022.5,57021.5,11/2009/E6007,A-F,57022.5,57021.5,11/2009/E6007
7023,G-M,57023.5,57021.5,11/2009/E6008,G-M,57023.5,57021.5,11/2009/E6008
7024,N-Z,57024.5,57021.5,11/2009/E6009,N-Z,57024.5,57021.5,11/2009/E6009
7025,(By topic),57025.5,11995.5,11/2009/E6010,(By topic),57025.5,11995.5,11/2009/E6010
7026,(By author),57026.5,12002.5,11/2010/E6020,(By author),57026.5,12002.5,11/2010/E6020
7027,(By topic),57027.5,12002.5,11/2010/E6021,(By topic),57027.5,12002.5,11/2010/E6021
7028,(Without subdivision),57028.5,12005.5,11/2010/E6074,(Without subdivision),57028.5,12005.5,11/2010/E6074
7029,(By topic or sub-agency),57029.5,12005.5,sub,(By topic or sub-agency),57029.5,12005.5,sub
7030,A-T,57030.5,57029.5,11/2010/E6026,A-T,57030.5,57029.5,11/2010/E6026
7031,U-Z,57031.5,57029.5,11/2010/E6027,U-Z,57031.5,57029.5,11/2010/E6027
7032,Collected and selected works,57032.5,12022.5,22/2012/E6046,Collected and selected works,57032.5,12022.5,22/2012/E6046
7033,Collected and selected works - Translations,57033.5,12022.5,22/2012/E6047,Collected and selected works - Translations,57033.5,12022.5,22/2012/E6047
7034,Correspondence,57034.5,12022.5,22/2012/E6048,Correspondence,57034.5,12022.5,22/2012/E6048
7035,Individual works,57035.5,12022.5,22/2012/E6049,Individual works,57035.5,12022.5,22/2012/E6049
7036,(By author),57036.5,12023.5,22/2012/E6051,(By author),57036.5,12023.5,22/2012/E6051
7037,(By subject),57037.5,12023.5,22/2012/E6052,(By subject),57037.5,12023.5,22/2012/E6052
7038,(Sovereigns),57038.5,12027.5,22/2013/E6057,(Sovereigns),57038.5,12027.5,22/2013/E6057
7039,(Nobility),57039.5,12027.5,22/2013/E6059,(Nobility),57039.5,12027.5,22/2013/E6059
7040,(Others),57040.5,12027.5,22/2013/E6060,(Others),57040.5,12027.5,22/2013/E6060
7041,(Sovereigns),57041.5,12095.5,15/2022/F2341,(Sovereigns),57041.5,12095.5,15/2022/F2341
7042,(Nobility),57042.5,12095.5,15/2022/F2342,(Nobility),57042.5,12095.5,15/2022/F2342
7043,(Others),57043.5,12095.5,15/2022/F2343,(Others),57043.5,12095.5,15/2022/F2343
7044,(Kings),57044.5,12102.5,sub,(Kings),57044.5,12102.5,sub
7045,England,57045.5,57044.5,sub,England,57045.5,57044.5,sub
7046,Henry II >,57046.5,57045.5,21/2023/F2351,Henry II >,57046.5,57045.5,21/2023/F2351
7047,Henry VIII >,57047.5,57045.5,21/2023/F2352,Henry VIII >,57047.5,57045.5,21/2023/F2352
7048,France >,57048.5,57044.5,21/2023/F2353,France >,57048.5,57044.5,21/2023/F2353
7049,(Nobility),57049.5,12102.5,21/2023/F2354,(Nobility),57049.5,12102.5,21/2023/F2354
7050,(Others),57050.5,12102.5,21/2023/F2355,(Others),57050.5,12102.5,21/2023/F2355
7051,(By author),57051.5,12125.5,15/2025/F2378,(By author),57051.5,12125.5,15/2025/F2378
7052,(By topic),57052.5,12125.5,15/2025/F2379,(By topic),57052.5,12125.5,15/2025/F2379
7053,(By place),57053.5,12125.5,sub,(By place),57053.5,12125.5,sub
7054,A-F,57054.5,57053.5,15/2025/F2381,A-F,57054.5,57053.5,15/2025/F2381
7055,G-H,57055.5,57053.5,15/2025/F2382,G-H,57055.5,57053.5,15/2025/F2382
7056,I-Z,57056.5,57053.5,9/2026/F2383,I-Z,57056.5,57053.5,9/2026/F2383
7057,Collected and selected works,57057.5,12130.5,9/2026/F2389,Collected and selected works,57057.5,12130.5,9/2026/F2389
7058,Individual works,57058.5,12130.5,9/2026/F2390,Individual works,57058.5,12130.5,9/2026/F2390
7059,Collected and selected works,57059.5,12140.5,9/2027/F2400,Collected and selected works,57059.5,12140.5,9/2027/F2400
7060,Individual works,57060.5,12140.5,9/2027/F2401,Individual works,57060.5,12140.5,9/2027/F2401
7061,Historiae,57061.5,12174.5,sub,Historiae,57061.5,12174.5,sub
7062,Greek editions,57062.5,57061.5,22/2032/F2516,Greek editions,57062.5,57061.5,22/2032/F2516
7063,Translations,57063.5,57061.5,22/2032/F2437,Translations,57063.5,57061.5,22/2032/F2437
7064,As subject,57064.5,57061.5,22/2032/F2405,As subject,57064.5,57061.5,22/2032/F2405
7065,Selections in translation,57065.5,57061.5,22/2032/F2438,Selections in translation,57065.5,57061.5,22/2032/F2438
7066,Individual books,57066.5,57061.5,sub,Individual books,57066.5,57061.5,sub
7067,Three or more books,57067.5,57066.5,22/2032/F2439,Three or more books,57067.5,57066.5,22/2032/F2439
7068,Book 1,57068.5,57066.5,22/2032/F2440,Book 1,57068.5,57066.5,22/2032/F2440
7069,Book 2,57069.5,57066.5,22/2032/F2441,Book 2,57069.5,57066.5,22/2032/F2441
7070,Book 3,57070.5,57066.5,22/2032/F2442,Book 3,57070.5,57066.5,22/2032/F2442
7071,Book 5,57071.5,57066.5,22/2032/F2443,Book 5,57071.5,57066.5,22/2032/F2443
7072,Book 6,57072.5,57066.5,22/2032/F2444,Book 6,57072.5,57066.5,22/2032/F2444
7073,Book 7,57073.5,57066.5,22/2032/F2445,Book 7,57073.5,57066.5,22/2032/F2445
7074,Book 8,57074.5,57066.5,22/2032/F2446,Book 8,57074.5,57066.5,22/2032/F2446
7075,Book 9,57075.5,57066.5,22/2032/F2447,Book 9,57075.5,57066.5,22/2032/F2447
7076,Selections,57076.5,57066.5,22/2032/F2448,Selections,57076.5,57066.5,22/2032/F2448
7077,Spurious and doubtful works,57077.5,12174.5,sub,Spurious and doubtful works,57077.5,12174.5,sub
7078,Vita Homeri,57078.5,57077.5,22/2032/F2457,Vita Homeri,57078.5,57077.5,22/2032/F2457
7079,Completed and selected works,57079.5,12210.5,19/2036/F2488,Completed and selected works,57079.5,12210.5,19/2036/F2488
7080,Fragmenta,57080.5,12210.5,19/2036/F2489,Fragmenta,57080.5,12210.5,19/2036/F2489
7081,Individual works,57081.5,12210.5,sub,Individual works,57081.5,12210.5,sub
7082,Opera et dies,57082.5,57081.5,19/2036/F2491,Opera et dies,57082.5,57081.5,19/2036/F2491
7083,Scutum Herculis,57083.5,57081.5,19/2036/F2492,Scutum Herculis,57083.5,57081.5,19/2036/F2492
7084,Theogonia,57084.5,57081.5,19/2036/F2493,Theogonia,57084.5,57081.5,19/2036/F2493
7085,(By title),57085.5,12243.5,sub,(By title),57085.5,12243.5,sub
7086,A-J,57086.5,57085.5,12/2041/F2531,A-J,57086.5,57085.5,12/2041/F2531
7087,K-Z,57087.5,57085.5,12/2041/F2532,K-Z,57087.5,57085.5,12/2041/F2532
7088,Complete and partial works,57088.5,12351.5,1/2054/E1088,Complete and partial works,57088.5,12351.5,1/2054/E1088
7089,Individual works,57089.5,12351.5,1/2054/E1181,Individual works,57089.5,12351.5,1/2054/E1181
7090,Spurious and doubtful works,57090.5,12351.5,1/2054/E1129,Spurious and doubtful works,57090.5,12351.5,1/2054/E1129
7091,Supposititious works,57091.5,12351.5,1/2054/E1180,Supposititious works,57091.5,12351.5,1/2054/E1180
7092,(By author),57092.5,12398.5,19/2060/E1166,(By author),57092.5,12398.5,19/2060/E1166
7093,(By topic),57093.5,12398.5,19/2060/E1167,(By topic),57093.5,12398.5,19/2060/E1167
7094,(By place),57094.5,12398.5,19/2060/E1168,(By place),57094.5,12398.5,19/2060/E1168
7095,(By author),57095.5,12402.5,19/2060/E1177,(By author),57095.5,12402.5,19/2060/E1177
7096,(By topic),57096.5,12402.5,19/2060/E1175,(By topic),57096.5,12402.5,19/2060/E1175
7097,(By place),57097.5,12402.5,sub,(By place),57097.5,12402.5,sub
7098,A-L,57098.5,57097.5,19/2060/E1178,A-L,57098.5,57097.5,19/2060/E1178
7099,M-Z,57099.5,57097.5,19/2060/E1176,M-Z,57099.5,57097.5,19/2060/E1176
7100,(By title),57100.5,12402.5,19/2060/E1174,(By title),57100.5,12402.5,19/2060/E1174
7101,(Without subdivision),57101.5,12413.5,19/2062/E1254,(Without subdivision),57101.5,12413.5,19/2062/E1254
7102,(By topic or sub-agency),57102.5,12413.5,sub,(By topic or sub-agency),57102.5,12413.5,sub
7103,A-J,57103.5,57102.5,19/2062/E1256,A-J,57103.5,57102.5,19/2062/E1256
7104,K-M,57104.5,57102.5,19/2062/E1192,K-M,57104.5,57102.5,19/2062/E1192
7105,N,57105.5,57102.5,19/2062/E1193,N,57105.5,57102.5,19/2062/E1193
7106,O-Z,57106.5,57102.5,19/2062/E1194,O-Z,57106.5,57102.5,19/2062/E1194
7107,(By author),57107.5,12420.5,sub,(By author),57107.5,12420.5,sub
7108,A-F,57108.5,57107.5,19/2063/E1202,A-F,57108.5,57107.5,19/2063/E1202
7109,G-M,57109.5,57107.5,19/2063/E1203,G-M,57109.5,57107.5,19/2063/E1203
